x,y,token
2.3581123,-32.6838,welcome
-51.819405,-4.1501026,directly
-43.8029,-16.810797,mutual
-43.184887,-17.136808,connexions
23.708607,6.6346927,returned
-17.491848,-16.296022,late
44.577805,-3.3323426,days
-50.706585,-14.083226,absence
-50.084465,-6.1441402,Brunswick
-54.16779,-0.27391812,Square
-54.63343,-23.803564,circumstance
-46.197605,-14.099603,animated
-51.590565,-11.871305,inquiries
51.62142,-19.26978,answered
23.056383,-34.716797,When
-35.037796,2.8438115,gratefully
-45.147865,-11.944796,observed
-15.801391,-31.800745,come
-30.305235,48.1438,out
21.678558,-31.196327,call
-24.908842,-46.37625,afraid
-25.356232,-33.509335,shocking
21.203001,-37.623203,Not
-9.51244,-43.703865,sir
-14.397248,16.520576,beautiful
-13.050884,42.13398,moonlight
16.311275,31.67806,mild
28.485401,-27.680885,draw
-29.919947,50.248734,back
32.93608,15.761389,fire
-34.504692,15.207497,found
20.053864,28.427816,damp
-11.566583,18.286701,dirty
-38.237682,44.062717,catch
20.105036,28.422787,cold
37.836464,-27.769037,Look
-21.64397,47.29828,shoes
-7.6986,-43.943066,Well
-24.838545,-32.159107,quite
-20.268337,-16.739443,surprising
14.036863,42.21262,vast
25.16231,30.110655,rain
24.537924,5.8513503,rained
-24.458698,-32.64127,dreadfully
-11.518415,-20.661217,hard
-56.70573,3.2091684,breakfast
-28.325762,-32.567142,wanted
21.861732,-36.27487,By
-10.427384,-42.854942,bye
18.642378,-9.31936,joy
22.476137,-20.621204,Being
-31.020784,9.001818,sort
-54.99573,-25.93664,feeling
-42.867847,17.32856,hurry
-43.097343,-6.986855,congratulations
-28.967535,-41.50611,hope
-31.525013,44.97489,went
-26.26582,-41.235615,behave
29.40459,-37.861214,Who
-44.47275,27.774801,cried
-5.5595737,-42.605602,Ah
15.621644,-47.19345,Tis
-19.303007,-32.648945,business
-19.339668,-42.67953,please
-28.172424,-44.024788,possibly
-13.406591,-44.21106,`
-13.093763,-42.457565,.'
-48.243294,-25.964197,regard
1.3048185,-39.51979,comes
-25.839275,-29.95188,question
-49.862473,-20.88605,dependence
-49.440678,-20.089039,independence
16.449667,13.167871,At
-39.134533,-37.049015,rate
-28.461761,-34.36414,better
-25.86368,-22.07896,_one_
8.337019,-0.81921214,those
-33.363388,5.5460496,fanciful
-28.47281,-31.060797,troublesome
-20.81693,-18.180435,creature
-24.14047,27.287561,playfully
-3.6381342,57.982197,head
-25.586855,-33.68529,certainly
-22.05351,-41.790653,believe
-43.989365,29.672346,","""
-23.674337,-5.347669,sometimes
-5.562783,-45.235123,dearest
-17.071983,-42.544514,mean
